test_rmse_reconstructed,n_pcs,model,batch_size,window_size,schedule,add_sin_cos
0.597,5,agcrn,64,5,standard,1
0.601,5,agcrn,32,6,cosine,1
0.61,5,fgnn,64,4,standard,0
0.576,5,mtgnn,32,5,standard,0
0.597,5,mtgnn,64,4,standard,1
0.605,5,fgnn,64,5,cosine,1
0.617,5,mtgnn,64,4,standard,0
0.63,5,mtgnn,64,5,cosine,1
0.613,5,fgnn,32,5,standard,0
0.717,5,stemgnn,32,5,standard,0
0.611,5,fgnn,64,6,cosine,0
0.604,5,mtgnn,32,5,cosine,0
0.605,5,agcrn,64,4,standard,0
0.589,5,mtgnn,32,5,standard,1
0.774,5,agcrn,96,6,cosine,0
0.648,5,mtgnn,96,4,standard,0
0.602,5,fgnn,96,6,cosine_warmup,1
0.603,5,agcrn,32,5,standard,0
0.675,5,stemgnn,32,6,cosine,1
0.666,5,mtgnn,96,5,standard,0
0.662,5,stemgnn,32,4,standard,1
0.621,5,mtgnn,32,5,cosine_warmup,1
0.64,5,agcrn,96,6,standard,0
0.611,5,fgnn,64,6,cosine_warmup,1
0.604,5,fgnn,32,4,cosine_warmup,1
0.619,5,fgnn,96,5,standard,0
0.591,5,agcrn,32,6,standard,1
0.756,5,stemgnn,32,4,cosine,0
0.678,5,stemgnn,64,5,standard,0
0.612,5,agcrn,96,5,standard,0
0.68,5,stemgnn,64,5,standard,1
0.611,5,fgnn,64,5,cosine_warmup,1
0.733,5,stemgnn,96,4,standard,0
0.638,5,mtgnn,64,4,cosine_warmup,1
0.603,5,mtgnn,32,6,cosine_warmup,1
0.701,5,stemgnn,96,5,cosine,1
0.736,5,stemgnn,64,5,cosine,0
0.607,5,mtgnn,64,4,standard,0
0.605,5,agcrn,32,6,standard,0
1.183,5,stemgnn,96,4,cosine,0
0.607,5,mtgnn,64,6,standard,1
0.619,5,fgnn,96,5,standard,1
