time,Nino34,WWV,NPMM,SPMM,IOB,IOD,SIOD,TNA,ATL3,SASD,month
1986-08-01,0.34244597,8.606018,0.3983403,0.29412928,-0.35268712,-0.18091126,0.711079,-0.36182222,-0.27672547,-0.29314804,8
1986-09-01,0.626901,9.590931,0.54148775,0.26843846,-0.36705816,-0.04535892,0.61727,-0.20551541,0.11316361,-0.047940213,9
1986-10-01,0.8534573,11.022978,0.4147753,0.48706597,-0.22448878,0.16077517,0.6425811,-0.20416604,-0.3909075,-0.13296796,10
1986-11-01,1.0033258,7.9217515,0.36114255,0.4035531,-0.088383146,0.10970768,0.26659128,-0.56745785,-0.99744767,0.04507927,11
1986-12-01,1.2481865,7.805492,0.2822524,0.28444836,-0.011939763,-0.23916787,0.12346631,-0.7265611,-0.6895586,-0.008179616,12
1987-01-01,1.4083453,5.317345,0.100228705,0.045918003,-0.06353851,-0.14650013,0.3111565,-0.41470057,-0.578374,-0.62346715,1
1987-02-01,1.1575962,1.5237308,0.0949965,0.15209477,0.022699859,-0.1397603,0.4461536,-0.15115094,-0.29724202,-0.8155389,2
1987-03-01,1.0277851,1.5959747,-0.06835087,0.46666154,0.15099905,-0.42058185,0.26449525,0.26156184,-0.05715325,-0.32428133,3
1987-04-01,0.83843017,0.5875285,-0.22881761,0.27938512,0.21993075,-0.34471494,0.32018045,0.5142205,-0.19219011,-0.49437815,4
1987-05-01,0.93545747,-1.2103734,0.28287396,-0.028274685,0.45102805,0.28105348,0.15623803,0.50714856,-0.17298573,-0.7420048,5
1987-06-01,1.2758504,-3.5015142,0.10701006,0.023710677,0.41321295,0.17802903,0.42785445,0.6405852,0.29589537,-1.0208914,6
1987-07-01,1.4179295,-5.2084827,0.063842654,0.13753542,0.39890718,-0.060150452,0.3188002,0.5255992,1.0436656,-0.86111444,7
1987-08-01,1.6480538,-5.382526,-0.115738146,0.29564318,0.4535338,0.34104228,0.20393604,0.43076602,1.03591,-0.6602105,8
1987-09-01,1.5380813,-7.7195373,0.13720115,0.35890803,0.4482758,0.7501863,0.5395324,0.332326,0.735831,-0.5611437,9
1987-10-01,1.3690237,-8.633343,0.291228,0.4457081,0.38030422,0.60531014,0.48417655,0.37788257,0.37983406,-0.63418704,10
1987-11-01,1.1700224,-10.531428,0.30044293,0.41315833,0.28471616,0.1038955,0.35447812,0.40654105,0.4680856,-0.48882708,11
1987-12-01,0.9211559,-12.231276,0.11447198,0.12450152,0.1997653,0.31019917,0.40540183,0.4805528,0.4678138,-0.24087644,12
1988-01-01,0.715404,-11.187178,0.12511069,-0.16483755,0.32892296,0.3136749,0.30081353,0.20842747,0.55841863,-0.17399305,1
1988-02-01,0.47734842,-13.399502,0.24678233,-0.26554376,0.5421035,0.40326568,0.2856127,0.0005789437,0.45742878,-1.1895499,2
1988-03-01,0.053855468,-14.779382,0.12046923,-0.1450893,0.48352504,0.030533284,0.14508893,0.2605158,0.5482407,-0.5738377,3
1988-04-01,-0.39810225,-15.457929,0.2581064,-0.017283697,0.35657656,0.27755198,0.13756071,0.4257191,0.60789573,-0.6116559,4
1988-05-01,-1.3586162,-13.606295,0.24291976,0.12942317,0.022830488,-0.2171189,0.09254332,0.3945707,0.7234064,-0.48332235,5
1988-06-01,-1.5582983,-10.787501,0.10686062,0.004759123,0.0056580817,-0.27295637,-0.14329566,0.33270717,0.98912257,-0.6373344,6
1988-07-01,-1.5327804,-7.7491145,0.14068767,-0.22836398,0.14289705,0.18223469,0.028830778,0.11268523,1.0598555,-0.4246455,7
1988-08-01,-1.4432501,-6.1694307,0.14514405,-0.31308535,0.26578656,0.24946706,0.16085503,-0.097193375,0.9941149,-0.34509006,8
1988-09-01,-1.4469911,-5.241045,-0.0393913,-0.2798611,0.31700787,0.1767925,0.30909872,-0.13596816,0.5045418,-0.5304174,9
1988-10-01,-2.337861,-7.670995,-0.030360902,-0.43902764,0.15830398,-0.14210322,0.006492411,-0.38642114,0.24503782,-0.64841163,10
1988-11-01,-2.5239034,-6.4669323,-0.01828228,-0.56217897,-0.073677525,-0.08505765,-0.230135,-0.20703863,-0.07759543,-0.46825522,11
1988-12-01,-2.1962767,-2.3979049,-0.12164402,-0.64713657,-0.044802904,0.16444013,0.10827141,-0.20185828,0.13924858,0.2933461,12
